   0.000000000E+00   0.171849944E+05  -0.480624731E+01  -0.537145843E+01  -0.518131768E+01  -0.487624731E+01  -0.461871212E+01  -0.435364175E+01  -0.617392325E+01  -0.513131768E+01  -0.503378250E+01  -0.501624731E+01  -0.497871212E+01
   0.220700330E+02   0.171853773E+05  -0.480629198E+01  -0.537152261E+01  -0.518136886E+01  -0.487629198E+01  -0.461875354E+01  -0.435367667E+01  -0.617398417E+01  -0.513136886E+01  -0.503383042E+01  -0.501629198E+01  -0.497875354E+01
   0.100446438E+05   0.387367286E+05  -0.138984759E+02  -0.149264686E+02  -0.145024723E+02  -0.140084759E+02  -0.136484759E+02  -0.133144796E+02  -0.157064686E+02  -0.144824723E+02  -0.142184759E+02  -0.141084759E+02  -0.139844796E+02
   0.200880855E+05   0.263587121E+05  -0.143746415E+02  -0.152401236E+02  -0.148923825E+02  -0.144735120E+02  -0.141446415E+02  -0.138357710E+02  -0.160301236E+02  -0.148623825E+02  -0.146635120E+02  -0.145846415E+02  -0.144857710E+02
   0.301141672E+05   0.210094401E+05  -0.145484615E+02  -0.152700435E+02  -0.150010943E+02  -0.146347779E+02  -0.143384615E+02  -0.140521451E+02  -0.160700435E+02  -0.149674107E+02  -0.148047779E+02  -0.147584615E+02  -0.146921451E+02
   0.401930909E+05   0.174622921E+05  -0.146417654E+02  -0.152211028E+02  -0.150215445E+02  -0.147117654E+02  -0.144518759E+02  -0.141820967E+02  -0.160212132E+02  -0.149715445E+02  -0.148716550E+02  -0.148517654E+02  -0.148118759E+02
   0.503390066E+05   0.153452748E+05  -0.146532816E+02  -0.151125972E+02  -0.149872740E+02  -0.147232816E+02  -0.144819508E+02  -0.142406200E+02  -0.159225972E+02  -0.149286048E+02  -0.148646124E+02  -0.148719508E+02  -0.148506200E+02
   0.605292487E+05   0.139694725E+05  -0.146439166E+02  -0.149945818E+02  -0.149253233E+02  -0.147039166E+02  -0.144860649E+02  -0.142503615E+02  -0.158067301E+02  -0.148553233E+02  -0.148296200E+02  -0.148539166E+02  -0.148582132E+02
   0.707490567E+05   0.129841816E+05  -0.146157172E+02  -0.148719551E+02  -0.148551563E+02  -0.146730770E+02  -0.144709977E+02  -0.142536379E+02  -0.156945954E+02  -0.147825161E+02  -0.147804368E+02  -0.148283575E+02  -0.148509977E+02
   0.808090457E+05   0.122160480E+05  -0.145840291E+02  -0.147604953E+02  -0.147872622E+02  -0.146326757E+02  -0.144553825E+02  -0.142467358E+02  -0.155904953E+02  -0.147059088E+02  -0.147313223E+02  -0.148026757E+02  -0.148353825E+02
   0.914572947E+05   0.115422719E+05  -0.145490783E+02  -0.146444546E+02  -0.147117665E+02  -0.145896160E+02  -0.144285407E+02  -0.142280031E+02  -0.154744546E+02  -0.146223041E+02  -0.146801536E+02  -0.147596160E+02  -0.148085407E+02
   0.101772631E+06   0.109436528E+05  -0.145108735E+02  -0.145222386E+02  -0.146279817E+02  -0.145437248E+02  -0.143980221E+02  -0.142123194E+02  -0.153522386E+02  -0.145379817E+02  -0.146265762E+02  -0.147208735E+02  -0.147851707E+02
   0.112350233E+06   0.103427384E+05  -0.144614593E+02  -0.143836265E+02  -0.145404292E+02  -0.144914593E+02  -0.143619744E+02  -0.141924894E+02  -0.152188840E+02  -0.144451716E+02  -0.145609442E+02  -0.146767168E+02  -0.147572319E+02
   0.122924048E+06   0.979277767E+04  -0.144206070E+02  -0.142506383E+02  -0.144621599E+02  -0.144475325E+02  -0.143367561E+02  -0.141829051E+02  -0.150906383E+02  -0.143590854E+02  -0.145013835E+02  -0.146406070E+02  -0.147398306E+02
   0.133058638E+06   0.929640099E+04  -0.143798897E+02  -0.141128254E+02  -0.143765930E+02  -0.143994187E+02  -0.143108315E+02  -0.141717734E+02  -0.149537673E+02  -0.142661221E+02  -0.144384768E+02  -0.145998897E+02  -0.147208315E+02
   0.143278590E+06   0.887417222E+04  -0.143485938E+02  -0.139807590E+02  -0.142982709E+02  -0.143614048E+02  -0.142929718E+02  -0.141673498E+02  -0.148351370E+02  -0.141810819E+02  -0.143870269E+02  -0.145685938E+02  -0.147029718E+02
   0.153436483E+06   0.851444209E+04  -0.143233210E+02  -0.138664792E+02  -0.142314615E+02  -0.143301982E+02  -0.142795666E+02  -0.141658122E+02  -0.147264792E+02  -0.141083387E+02  -0.143439526E+02  -0.145433210E+02  -0.146926894E+02
   0.163368670E+06   0.816174169E+04  -0.142833747E+02  -0.137362820E+02  -0.141493981E+02  -0.142842352E+02  -0.142516537E+02  -0.141499328E+02  -0.145962820E+02  -0.140202586E+02  -0.142859562E+02  -0.145033747E+02  -0.146707932E+02
   0.174137580E+06   0.784341819E+04  -0.142472643E+02  -0.136039647E+02  -0.140631645E+02  -0.142423644E+02  -0.142270643E+02  -0.141368643E+02  -0.144688647E+02  -0.139331645E+02  -0.142276644E+02  -0.144672643E+02  -0.146519643E+02
   0.184626339E+06   0.756279099E+04  -0.142095982E+02  -0.134789595E+02  -0.139793143E+02  -0.141995627E+02  -0.141996692E+02  -0.141198111E+02  -0.143489950E+02  -0.138492433E+02  -0.141694917E+02  -0.144295982E+02  -0.146297401E+02
   0.194493612E+06   0.732450912E+04  -0.141669685E+02  -0.133521973E+02  -0.138992924E+02  -0.141522590E+02  -0.141663875E+02  -0.141052256E+02  -0.142269068E+02  -0.137598734E+02  -0.141128400E+02  -0.143869685E+02  -0.146058065E+02
   0.205071893E+06   0.709512090E+04  -0.141228552E+02  -0.132270917E+02  -0.138191825E+02  -0.141036461E+02  -0.141312734E+02  -0.140881097E+02  -0.141063008E+02  -0.136707644E+02  -0.140552279E+02  -0.143428552E+02  -0.145796915E+02
   0.214759577E+06   0.689745992E+04  -0.140792510E+02  -0.131030722E+02  -0.137394705E+02  -0.140526331E+02  -0.140991778E+02  -0.140657957E+02  -0.139863811E+02  -0.135861616E+02  -0.139927063E+02  -0.142992510E+02  -0.145491778E+02
   0.225073392E+06   0.670484708E+04  -0.140346027E+02  -0.129774090E+02  -0.136583655E+02  -0.139998833E+02  -0.140666817E+02  -0.140414011E+02  -0.138647687E+02  -0.135010059E+02  -0.139278043E+02  -0.142546027E+02  -0.145166817E+02
   0.236069168E+06   0.651870125E+04  -0.139867227E+02  -0.128480224E+02  -0.135730559E+02  -0.139453560E+02  -0.140308228E+02  -0.140149228E+02  -0.137393890E+02  -0.134103225E+02  -0.138612560E+02  -0.142080894E+02  -0.144821894E+02
   0.245797448E+06   0.637156978E+04  -0.139437610E+02  -0.127353773E+02  -0.134969116E+02  -0.138990761E+02  -0.139978158E+02  -0.139918706E+02  -0.136300622E+02  -0.133275417E+02  -0.138050213E+02  -0.141684460E+02  -0.144525008E+02
   0.256080824E+06   0.622940120E+04  -0.139021244E+02  -0.126264078E+02  -0.134232117E+02  -0.138542331E+02  -0.139657982E+02  -0.139694720E+02  -0.135242990E+02  -0.132474292E+02  -0.137505593E+02  -0.141300157E+02  -0.144236895E+02
   0.267020562E+06   0.608832672E+04  -0.138574254E+02  -0.125121143E+02  -0.133459203E+02  -0.138051244E+02  -0.139320274E+02  -0.139454789E+02  -0.134132648E+02  -0.131647698E+02  -0.136928233E+02  -0.140874254E+02  -0.143931779E+02
   0.276312508E+06   0.598548141E+04  -0.138243758E+02  -0.124243466E+02  -0.132879989E+02  -0.137671004E+02  -0.139089266E+02  -0.139298397E+02  -0.133279843E+02  -0.131043612E+02  -0.136498250E+02  -0.140543758E+02  -0.143725643E+02
