 0001  0.3497982259862917E+026
 0002  0.1725080697041388E+026
 0003  0.7896836321580521E+025
 0004  0.2978108893867124E+025
 0005  0.1269078890827582E+025
 0006  0.6070358805444508E+024
 0007  0.3160267259266518E+024
 0008  0.1763177283804686E+024
 0009  0.1057969268504693E+024
 0010  0.6728098712669485E+023
 0011  0.4442842339491963E+023
 0012  0.3039694972561757E+023
 0013  0.2151059221019121E+023
 0014  0.1516638055455801E+023
 0015  0.1100945271086126E+023
 0016  0.8124230396671472E+022
 0017  0.5966350507127682E+022
 0018  0.4443156711230326E+022
 0019  0.3320353301217500E+022
 0020  0.2476346533317268E+022
 0021  0.1827549650759854E+022
 0022  0.1354230830803717E+022
 0023  0.9856121704035333E+021
 0024  0.7199819155939553E+021
 0025  0.4925097462080450E+021
 0026  0.3351373200934384E+021
 0027  0.2113643645636189E+021
 0028  0.1278984200392997E+021
 0029  0.6941896541531518E+020
 0030  0.3577710817613365E+020
 0031  0.1887468290619715E+020
 0032  0.1116224834962728E+020
 0033  0.7025054853529414E+019
 0034  0.4602460545046623E+019
 0035  0.3133027971629991E+019
 0036  0.2174627177595383E+019
 0037  0.1552238498898360E+019
 0038  0.1111163903339749E+019
 0039  0.8036630597812856E+018
 0040  0.6040385065232893E+018
 0041  0.4489050285097619E+018
 0042  0.3323787041010250E+018
 0043  0.2432583297462543E+018
 0044  0.1759794044763650E+018
 0045  0.1284092770696001E+018
 0046  0.9294822887920365E+017
 0047  0.6534375907975102E+017
 0048  0.4616589055770773E+017
 0049  0.3068388526523891E+017
 0050  0.1967716439760835E+017
 0051  0.1297633540073998E+017
 0052  0.8528131519523849E+016
 0053  0.5540303245916758E+016
 0054  0.3671508183076833E+016
 0055  0.2456184034766290E+016
 0056  0.1633226741610898E+016
 0057  0.1083323335406666E+016
 0058  0.6746414576146065E+015
 0059  0.4270967990475759E+015
 0060  0.2709431223821208E+015
 0061  0.1662520556335079E+015
 0062  0.1049360809382208E+015
 0063  0.6919597807811305E+014
 0064  0.4552996563901145E+014
 0065  0.3031945262633816E+014
 0066  0.2027159694864530E+014
 0067  0.1345913689000691E+014
 0068  0.9043023621208316E+013
 0069  0.6195852977679703E+013
 0070  0.4143730771592981E+013
 0071  0.2819906194464387E+013
 0072  0.1859587780445043E+013
 0073  0.1250539943250452E+013
 0074  0.8153438636971270E+012
 0075  0.5293757004490706E+012
 0076  0.3375012768838749E+012
 0077  0.2140039703636879E+012
 0078  0.1360820495035892E+012
 0079  0.8799964050064911E+011
 0080  0.5545205430489201E+011
 0081  0.3628234593773250E+011
 0082  0.2302004721738184E+011
 0083  0.1557355542668390E+011
 0084  0.1020083807314403E+011
 0085  0.6940039949820819E+010
 0086  0.4465023942393943E+010
 0087  0.2954630418796256E+010
 0088  0.1918035474744477E+010
 0089  0.1243551820437068E+010
 0090  0.7962783810417644E+009
 0091  0.4994067363536153E+009
 0092  0.3033470136485918E+009
 0093  0.1829858129968396E+009
 0094  0.1068966081262242E+009
 0095  0.6077962808683129E+008
 0096  0.3267267310586331E+008
 0097  0.1576131045492997E+008
 0098  0.6221288083872871E+007
 0099  0.1200357328056138E+007
 0100  0.0000000000000000E+000
