# Temp u g r i z U B V R I NUV FUV M2 W1 W2
5.000000000000000000e+04 -3.384619999999999962e+00 -3.851890000000000036e+00 -4.373719999999999608e+00 -4.748020000000000351e+00 -5.095229999999999926e+00 -2.611509999999999998e+00 -3.827230000000000132e+00 -4.131029999999999980e+00 -4.436910000000000132e+00 -4.244449999999999612e+00 -2.695910000000000029e+00 -2.269730000000000025e+00 -2.682570000000000121e+00 -2.839430000000000121e+00 -2.528900000000000148e+00
5.100000000000000000e+04 -3.439229999999999787e+00 -3.908990000000000187e+00 -4.432789999999999786e+00 -4.808110000000000106e+00 -5.156069999999999709e+00 -2.666209999999999969e+00 -3.883809999999999985e+00 -4.189370000000000260e+00 -4.497320000000000206e+00 -4.303729999999999833e+00 -2.743510000000000115e+00 -2.307859999999999800e+00 -2.730119999999999880e+00 -2.888560000000000016e+00 -2.573469999999999924e+00
5.200000000000000000e+04 -3.492989999999999817e+00 -3.965129999999999821e+00 -4.490840000000000387e+00 -4.867130000000000400e+00 -5.215810000000000279e+00 -2.720060000000000144e+00 -3.939449999999999896e+00 -4.246699999999999697e+00 -4.556650000000000311e+00 -4.361959999999999837e+00 -2.790560000000000151e+00 -2.345849999999999991e+00 -2.777130000000000098e+00 -2.937040000000000095e+00 -2.617609999999999992e+00
5.300000000000000000e+04 -3.545920000000000183e+00 -4.020349999999999646e+00 -4.547869999999999635e+00 -4.925110000000000099e+00 -5.274469999999999992e+00 -2.773080000000000211e+00 -3.994190000000000129e+00 -4.303049999999999820e+00 -4.614919999999999689e+00 -4.419190000000000396e+00 -2.837050000000000072e+00 -2.383669999999999956e+00 -2.823589999999999822e+00 -2.984910000000000174e+00 -2.661319999999999908e+00
5.400000000000000000e+04 -3.598040000000000127e+00 -4.074679999999999858e+00 -4.603939999999999699e+00 -4.982079999999999842e+00 -5.332099999999999618e+00 -2.825289999999999857e+00 -4.048060000000000436e+00 -4.358469999999999622e+00 -4.672170000000000378e+00 -4.475439999999999863e+00 -2.883010000000000073e+00 -2.421320000000000139e+00 -2.869510000000000005e+00 -3.032179999999999875e+00 -2.704610000000000181e+00
5.500000000000000000e+04 -3.649379999999999846e+00 -4.128129999999999633e+00 -4.659080000000000332e+00 -5.038079999999999892e+00 -5.388740000000000308e+00 -2.876720000000000166e+00 -4.101069999999999993e+00 -4.412969999999999615e+00 -4.728449999999999598e+00 -4.530750000000000277e+00 -2.928430000000000089e+00 -2.458779999999999966e+00 -2.914899999999999824e+00 -3.078840000000000021e+00 -2.747459999999999791e+00
5.600000000000000000e+04 -3.699969999999999981e+00 -4.180749999999999744e+00 -4.713309999999999889e+00 -5.093140000000000001e+00 -5.444420000000000037e+00 -2.927379999999999871e+00 -4.153249999999999886e+00 -4.466599999999999682e+00 -4.783769999999999634e+00 -4.585139999999999993e+00 -2.973320000000000185e+00 -2.496030000000000193e+00 -2.959760000000000169e+00 -3.124909999999999854e+00 -2.789890000000000203e+00
5.700000000000000000e+04 -3.749810000000000088e+00 -4.232540000000000191e+00 -4.766659999999999897e+00 -5.147289999999999921e+00 -5.499159999999999826e+00 -2.977300000000000058e+00 -4.204640000000000377e+00 -4.519359999999999822e+00 -4.838180000000000369e+00 -4.638659999999999783e+00 -3.017689999999999984e+00 -2.533059999999999867e+00 -3.004100000000000215e+00 -3.170420000000000016e+00 -2.831900000000000084e+00
5.800000000000000000e+04 -3.798929999999999918e+00 -4.283549999999999969e+00 -4.819160000000000110e+00 -5.200569999999999915e+00 -5.553009999999999557e+00 -3.026499999999999968e+00 -4.255250000000000199e+00 -4.571299999999999919e+00 -4.891689999999999650e+00 -4.691309999999999647e+00 -3.061549999999999994e+00 -2.569859999999999811e+00 -3.047940000000000094e+00 -3.215370000000000061e+00 -2.873479999999999812e+00
5.900000000000000000e+04 -3.847360000000000113e+00 -4.333779999999999966e+00 -4.870840000000000281e+00 -5.252989999999999604e+00 -5.605990000000000251e+00 -3.074990000000000112e+00 -4.305100000000000371e+00 -4.622440000000000104e+00 -4.944350000000000023e+00 -4.743140000000000356e+00 -3.104900000000000215e+00 -2.606430000000000025e+00 -3.091270000000000184e+00 -3.259759999999999991e+00 -2.914649999999999963e+00
6.000000000000000000e+04 -3.895099999999999785e+00 -4.383270000000000444e+00 -4.921719999999999651e+00 -5.304590000000000138e+00 -5.658129999999999882e+00 -3.122799999999999798e+00 -4.354219999999999757e+00 -4.672789999999999999e+00 -4.996179999999999843e+00 -4.794159999999999755e+00 -3.147759999999999891e+00 -2.642759999999999998e+00 -3.134100000000000108e+00 -3.303620000000000001e+00 -2.955389999999999961e+00
6.100000000000000000e+04 -3.942180000000000017e+00 -4.432030000000000136e+00 -4.971820000000000128e+00 -5.355389999999999873e+00 -5.709439999999999849e+00 -3.169950000000000045e+00 -4.402630000000000265e+00 -4.722389999999999866e+00 -5.047200000000000131e+00 -4.844409999999999883e+00 -3.190129999999999910e+00 -2.678840000000000110e+00 -3.176449999999999996e+00 -3.346960000000000157e+00 -2.995730000000000004e+00
6.200000000000000000e+04 -3.988599999999999923e+00 -4.480089999999999684e+00 -5.021169999999999689e+00 -5.405409999999999826e+00 -5.759970000000000034e+00 -3.216439999999999966e+00 -4.450339999999999741e+00 -4.771259999999999835e+00 -5.097430000000000128e+00 -4.893889999999999851e+00 -3.232009999999999827e+00 -2.714669999999999916e+00 -3.218309999999999782e+00 -3.389769999999999950e+00 -3.035649999999999959e+00
6.300000000000000000e+04 -4.034399999999999764e+00 -4.527449999999999974e+00 -5.069799999999999862e+00 -5.454679999999999751e+00 -5.809730000000000061e+00 -3.262300000000000200e+00 -4.497379999999999711e+00 -4.819410000000000416e+00 -5.146910000000000096e+00 -4.942650000000000432e+00 -3.273429999999999840e+00 -2.750249999999999861e+00 -3.259710000000000107e+00 -3.432080000000000020e+00 -3.075169999999999959e+00
6.400000000000000000e+04 -4.079589999999999606e+00 -4.574160000000000004e+00 -5.117709999999999759e+00 -5.503230000000000288e+00 -5.858740000000000059e+00 -3.307539999999999925e+00 -4.543759999999999799e+00 -4.866869999999999585e+00 -5.195649999999999658e+00 -4.990689999999999849e+00 -3.314369999999999816e+00 -2.785559999999999814e+00 -3.300640000000000018e+00 -3.473889999999999922e+00 -3.114300000000000068e+00
6.500000000000000000e+04 -4.124179999999999957e+00 -4.620210000000000150e+00 -5.164939999999999642e+00 -5.551059999999999661e+00 -5.907020000000000159e+00 -3.352189999999999781e+00 -4.589509999999999756e+00 -4.913660000000000139e+00 -5.243680000000000341e+00 -5.038030000000000008e+00 -3.354870000000000019e+00 -2.820609999999999840e+00 -3.341120000000000090e+00 -3.515219999999999789e+00 -3.153020000000000156e+00
6.600000000000000000e+04 -4.168180000000000440e+00 -4.665630000000000166e+00 -5.211500000000000021e+00 -5.598209999999999908e+00 -5.954609999999999737e+00 -3.396250000000000213e+00 -4.634629999999999583e+00 -4.959789999999999921e+00 -5.291009999999999991e+00 -5.084710000000000285e+00 -3.394909999999999872e+00 -2.855399999999999938e+00 -3.381149999999999878e+00 -3.556070000000000064e+00 -3.191359999999999975e+00
6.700000000000000000e+04 -4.211610000000000298e+00 -4.710440000000000182e+00 -5.257399999999999629e+00 -5.644680000000000142e+00 -6.001509999999999678e+00 -3.439729999999999954e+00 -4.679149999999999920e+00 -5.005279999999999951e+00 -5.337659999999999627e+00 -5.130729999999999791e+00 -3.434509999999999952e+00 -2.889930000000000110e+00 -3.420739999999999892e+00 -3.596449999999999925e+00 -3.229319999999999968e+00
