# ncomps =   19
 0001  0.1727132792948110E-022  0.2489706594982156E-066  0.1296399518206592E-001  0.4896547306256822E-002  0.5392558931513559E-018  0.4158744735216542E+000  0.5794252993699055E-001  0.6439198642526955E-001  0.1595362976915735E+000  0.8368805588336449E-001  0.2607267295920230E-001  0.2845367365078456E-001  0.3652104324742002E-003  0.2177957655942875E-002  0.2451460736156754E-005  0.2389926929032086E-001  0.6698952395655867E-001  0.2706273143228685E-001  0.2568262321451847E-001
 0002  0.1668427868045469E-022  0.2405081927275765E-066  0.1252335933091720E-001  0.5492380179834663E-002  0.5209266925388992E-018  0.4239128055684711E+000  0.6169832494009662E-001  0.6565524121581906E-001  0.1554969287812934E+000  0.8087372121042440E-001  0.2518895172411612E-001  0.2748815423133208E-001  0.3527970788395844E-003  0.2103929279477109E-002  0.2368136038133846E-005  0.2308693753758904E-001  0.6471434649283131E-001  0.2617211487256855E-001  0.2523763942035158E-001
 0003  0.1603122820081436E-022  0.2310943012116709E-066  0.1203355337045452E-001  0.6275280875011120E-002  0.5005367613589013E-018  0.4328208584071167E+000  0.6598738230520414E-001  0.6698688552831053E-001  0.1509283479190911E+000  0.7774153994149148E-001  0.2420584235587014E-001  0.2641407464455838E-001  0.3389881020801798E-003  0.2021577982715646E-002  0.2275443246004414E-005  0.2218327631729257E-001  0.6218337611755713E-001  0.2518140858522674E-001  0.2469533210477361E-001
 0004  0.1534454431381080E-022  0.2216309460122867E-066  0.1152448276207899E-001  0.7342463810306390E-002  0.4790967076821916E-018  0.4421694225591516E+000  0.7052326578366028E-001  0.6826834339616654E-001  0.1460352970530482E+000  0.7444644096023012E-001  0.2317206374433686E-001  0.2528466928333168E-001  0.3244679296642418E-003  0.1934985428995800E-002  0.2177976589473195E-005  0.2123307473466720E-001  0.5952205825302252E-001  0.2413972078568437E-001  0.2407706553906549E-001
 0005  0.1464047230866530E-022  0.2241622041933949E-066  0.1104659086391838E-001  0.8848591021774011E-002  0.4631107404879434E-010  0.4516919247461721E+000  0.7509217311659368E-001  0.6941819433355134E-001  0.1409190574432694E+000  0.7106621358459249E-001  0.2211206771461262E-001  0.2412665658035677E-001  0.3095800731512536E-003  0.1846200189848014E-002  0.2078041895186434E-005  0.2025881227353329E-001  0.5679335331319020E-001  0.2307169587275218E-001  0.2339681078447797E-001
 0006  0.1390102098246180E-022  0.2726026041600672E-066  0.1075319262659189E-001  0.1106991770109268E-001  0.4016127421382741E-008  0.4614293574380416E+000  0.7969299714012790E-001  0.7040514856001251E-001  0.1354296506297994E+000  0.6751423933243768E-001  0.2099876124047750E-001  0.2291044471653984E-001  0.2939441008629339E-003  0.1752953528949125E-002  0.1973085523916432E-005  0.1923559352737983E-001  0.5392753463913055E-001  0.2195004508418242E-001  0.2263424263272273E-001
 0007  0.1314850958004259E-022  0.3903615391202170E-066  0.1106551689986946E-001  0.1406712681801129E-001  0.4029475095255017E-007  0.4707297924961476E+000  0.8407269690637691E-001  0.7114694426237202E-001  0.1297183930400677E+000  0.6389756714445061E-001  0.1986574286556850E-001  0.2167274258692674E-001  0.2780319604588833E-003  0.1658059957367143E-002  0.1866275426837089E-005  0.1819430282451208E-001  0.5101110273300069E-001  0.2080862458230481E-001  0.2181144835238791E-001
 0008  0.1241183001086244E-022  0.5755938681470457E-066  0.1247969690802656E-001  0.1769009668615282E-001  0.1774531582392044E-006  0.4788667483599683E+000  0.8798518389512471E-001  0.7158934751850198E-001  0.1240017217625619E+000  0.6035506686512383E-001  0.1875651312733544E-001  0.2046107067707089E-001  0.2624545821614830E-003  0.1565162816543468E-002  0.1761712468155450E-005  0.1717491945424154E-001  0.4815603086134179E-001  0.1969125562107620E-001  0.2096279169914258E-001
 0009  0.1167223747072411E-022  0.8274054672921379E-066  0.1558192393923104E-001  0.2195273260875883E-001  0.5379530771017412E-006  0.4856697868932999E+000  0.9146089767930193E-001  0.7171962881871756E-001  0.1181307882406460E+000  0.5679659376663754E-001  0.1764284682977097E-001  0.1924459807436310E-001  0.2468155995764938E-003  0.1471898339587183E-002  0.1656736044338885E-005  0.1615150521598331E-001  0.4528967164354222E-001  0.1856950507242868E-001  0.2006861258903366E-001
 0010  0.1094206084123954E-022  0.1132613323874060E-065  0.2091862901924251E-001  0.2669242889841680E-001  0.1293622184917790E-005  0.4906233307715425E+000  0.9437049729387771E-001  0.7150754558315492E-001  0.1121976144242770E+000  0.5328141923481639E-001  0.1654330674635855E-001  0.1804360302148682E-001  0.2313757116093508E-003  0.1379821229621302E-002  0.1553096094685529E-005  0.1514112025265986E-001  0.4245980676411489E-001  0.1746207166173476E-001  0.1914458266880703E-001
