 0001  0.1296399518206592E-001
 0002  0.1252335933091720E-001
 0003  0.1203355337045452E-001
 0004  0.1152448276207899E-001
 0005  0.1104659086391838E-001
 0006  0.1075319262659189E-001
 0007  0.1106551689986946E-001
 0008  0.1247969690802656E-001
 0009  0.1558192393923104E-001
 0010  0.2091862901924251E-001
 0011  0.2869280125974437E-001
 0012  0.3943500137128640E-001
 0013  0.5289303608536111E-001
 0014  0.6900322990322873E-001
 0015  0.8825664568025669E-001
 0016  0.1103826122125163E+000
 0017  0.1347258804388821E+000
 0018  0.1609189892797256E+000
 0019  0.1885518172932035E+000
 0020  0.2177474197269660E+000
 0021  0.2485205479636934E+000
 0022  0.2800543686498053E+000
 0023  0.3125534327026817E+000
 0024  0.3437691941981376E+000
 0025  0.3768663575990695E+000
 0026  0.4087221114504757E+000
 0027  0.4404713460997392E+000
 0028  0.4715280386349764E+000
 0029  0.5016825915584998E+000
 0030  0.5308910747183715E+000
 0031  0.5590604702844819E+000
 0032  0.5861391758146901E+000
 0033  0.6124378935504740E+000
 0034  0.6380316453804973E+000
 0035  0.6611175622632283E+000
 0036  0.6823208664479811E+000
 0037  0.7015187969784628E+000
 0038  0.7202828444877863E+000
 0039  0.7372208253090398E+000
 0040  0.7520424668810882E+000
 0041  0.7656632260602005E+000
 0042  0.7799792175199257E+000
 0043  0.7915665995533969E+000
 0044  0.8028836463226575E+000
 0045  0.8132179076266420E+000
 0046  0.8216379624554017E+000
 0047  0.8294242988906113E+000
 0048  0.8356419069194969E+000
 0049  0.8409962759293287E+000
 0050  0.8456611006299014E+000
 0051  0.8487836820519907E+000
 0052  0.8490841508546739E+000
 0053  0.8490841508546738E+000
 0054  0.8490841508546738E+000
 0055  0.8490841508546738E+000
 0056  0.8490841508546737E+000
 0057  0.8490841508546737E+000
 0058  0.8490841508546737E+000
 0059  0.8490841508546738E+000
 0060  0.8490841508546737E+000
 0061  0.8490841508546737E+000
 0062  0.8490841508546738E+000
 0063  0.8490841508546738E+000
 0064  0.8490841508546738E+000
 0065  0.8490841508546738E+000
 0066  0.8490841508546739E+000
 0067  0.8490841508546738E+000
 0068  0.8490841508546738E+000
 0069  0.8490841508546738E+000
 0070  0.8490841508546738E+000
 0071  0.8490841508546738E+000
 0072  0.8490841508546737E+000
 0073  0.8490841508546738E+000
 0074  0.8490841508546738E+000
 0075  0.8490841508546737E+000
 0076  0.8490841508546737E+000
 0077  0.8490841508546739E+000
 0078  0.8490841508546738E+000
 0079  0.8490841508546737E+000
 0080  0.8490841508546739E+000
 0081  0.8490841508546738E+000
 0082  0.8490841508546738E+000
 0083  0.8490841508546739E+000
 0084  0.8490841508546739E+000
 0085  0.8490841508546737E+000
 0086  0.8490841508546737E+000
 0087  0.8490841508546739E+000
 0088  0.8490841508546739E+000
 0089  0.8490841508546738E+000
 0090  0.8490841508546738E+000
 0091  0.8490841508546738E+000
 0092  0.8490841508546738E+000
 0093  0.8490841508546738E+000
 0094  0.8490841508546737E+000
 0095  0.8490841508546737E+000
 0096  0.8490841508546738E+000
 0097  0.8490841508546738E+000
 0098  0.8490841508546737E+000
 0099  0.8490841508546743E+000
 0100  0.8490841508546743E+000
