  2.4601705005E+011  2.9955664391E-008  1.3087621453E+029
  3.6930381680E+011  9.6659388346E-008  2.8141969501E+029
  4.6063066469E+011  1.8833022699E-007  4.5458591619E+029
  5.3635843106E+011  3.1787335108E-007  6.5377448326E+029
  6.0330512754E+011  4.9722899255E-007  8.8289587300E+029
  6.6468512931E+011  7.4792070393E-007  1.1464482044E+030
  7.1977215474E+011  1.1479659202E-006  1.4496055458E+030
  7.6611066865E+011  1.8634797754E-006  1.7983194925E+030
  8.0519741824E+011  2.9726255523E-006  2.1994360088E+030
  8.3929131421E+011  4.5309669077E-006  2.6608298277E+030
  8.7003430368E+011  6.6330712486E-006  3.1915590485E+030
  8.9810304523E+011  9.5516274965E-006  3.8020429656E+030
  9.2409150062E+011  1.3530547225E-005  4.5042666200E+030
  9.4851474886E+011  1.8872793003E-005  5.3120160905E+030
  9.7119388418E+011  2.6632383723E-005  6.2411491426E+030
  9.9332386063E+011  3.5837294190E-005  7.3099065480E+030
  1.0146884654E+012  4.8990260250E-005  8.5392701888E+030
  1.0361761925E+012  6.4790319500E-005  9.9533749741E+030
  1.0567162456E+012  9.0907491966E-005  1.1579982657E+031
  1.0766226913E+012  1.2659657458E-004  1.3451026857E+031
  1.0948828246E+012  1.8696246519E-004  1.5603239975E+031
  1.1115480855E+012  2.7719053369E-004  1.8078874336E+031
  1.1262336889E+012  4.2374874862E-004  2.0926531676E+031
  1.1389694601E+012  6.5250326214E-004  2.4202117302E+031
  1.1502029817E+012  9.7900789963E-004  2.7969937624E+031
  1.1603025317E+012  1.4316312634E-003  3.2303962619E+031
  1.1694074817E+012  2.0769833281E-003  3.7289278014E+031
  1.1779331270E+012  2.8929200186E-003  4.3023755693E+031
  1.1858286087E+012  4.0698485023E-003  4.9619975116E+031
  1.1933558458E+012  5.5613583679E-003  5.7207433491E+031
  1.2004589079E+012  7.6871518265E-003  6.5935088059E+031
  1.2073273034E+012  1.0391938065E-002  7.5974280434E+031
  1.2139004903E+012  1.4242599731E-002  8.7522100385E+031
  1.2201644067E+012  1.9656335532E-002  1.0080525511E+032
  1.2261995398E+012  2.6922417598E-002  1.1608451995E+032
  1.2320359951E+012  3.6914395303E-002  1.3365985797E+032
  1.2376611037E+012  5.1062646401E-002  1.5387630880E+032
  1.2431133657E+012  7.0670906843E-002  1.7713076249E+032
  1.2481948065E+012  1.0216496699E-001  2.0387975127E+032
  1.2526958223E+012  1.5501315243E-001  2.3464841222E+032
  1.2566677015E+012  2.3440668786E-001  2.7004079674E+032
  1.2601735254E+012  3.5168875891E-001  3.1075172933E+032
  1.2633084949E+012  5.1726295100E-001  3.5758044841E+032
  1.2662864671E+012  7.1458838610E-001  4.1144629700E+032
  1.2691399341E+012  9.8118906431E-001  4.7340677129E+032
  1.2719090665E+012  1.3360104159E+000  5.4467828143E+032
  1.2746018680E+012  1.8261955974E+000  6.2666003215E+032
  1.2772065358E+012  2.5256771916E+000  7.2096149199E+032
  1.2797752097E+012  3.4547575104E+000  8.2943399044E+032
  1.2823513197E+012  4.7065859134E+000  9.5420706329E+032
  1.2845658768E+012  6.5218940607E+000  1.0789801362E+033
  1.2865071649E+012  8.7767641820E+000  1.2037532090E+033
  1.2882694844E+012  1.1342027089E+001  1.3285262819E+033
  1.2898620205E+012  1.4678351253E+001  1.4532993547E+033
  1.2913355002E+012  1.8517273742E+001  1.5780724276E+033
  1.2927079594E+012  2.3215135043E+001  1.7028455004E+033
  1.2939816520E+012  2.9234169916E+001  1.8276185733E+033
