  0.0000000000E+000 0000
  0.2231191811E+002 0100
  0.1005747412E+005 0096
  0.2016439986E+005 0091
  0.3021350219E+005 0087
  0.4031617628E+005 0083
  0.5048916406E+005 0080
  0.6070856382E+005 0077
  0.7095884159E+005 0075
  0.8104966665E+005 0073
  0.9174026449E+005 0071
  0.1020877387E+006 0069
  0.1126874296E+006 0068
  0.1232598034E+006 0066
  0.1333974691E+006 0065
  0.1436054437E+006 0064
  0.1537335501E+006 0063
  0.1647645268E+006 0062
  0.1755896754E+006 0060
  0.1861003590E+006 0059
  0.1959740359E+006 0058
  0.2065447028E+006 0057
  0.2162132569E+006 0057
  0.2264951078E+006 0056
  0.2374450101E+006 0055
  0.2471236955E+006 0054
  0.2573465261E+006 0053
  0.2682533502E+006 0052
  0.2774993472E+006 0051
  0.2871876469E+006 0051
  0.2973466783E+006 0050
  0.3080070919E+006 0049
  0.3192019189E+006 0049
  0.3309667459E+006 0048
  0.3401873805E+006 0047
  0.3497673995E+006 0047
  0.3598354345E+006 0046
  0.3703088982E+006 0045
  0.3812086540E+006 0044
  0.3925567434E+006 0044
  0.4043764741E+006 0043
  0.4166925125E+006 0042
  0.4251917655E+006 0042
  0.4339312900E+006 0041
  0.4429678246E+006 0040
  0.4501065566E+006 0040
  0.4604859164E+006 0039
  0.4719427875E+006 0039
  0.4813094224E+006 0038
  0.4913962638E+006 0038
  0.5022586888E+006 0037
  0.5139563323E+006 0037
  0.5265534150E+006 0036
  0.5354850964E+006 0035
  0.5448689442E+006 0035
  0.5547278492E+006 0034
  0.5650858613E+006 0034
  0.5759682478E+006 0034
  0.5874015550E+006 0033
  0.5994136735E+006 0033
  0.6120339055E+006 0032
  0.6252930367E+006 0031
  0.6321722340E+006 0031
  0.6392234114E+006 0031
  0.6464508681E+006 0031
  0.6538590113E+006 0030
  0.6614523581E+006 0030
  0.6692355385E+006 0030
  0.6772132984E+006 0030
  0.6853905024E+006 0029
  0.6937721364E+006 0029
  0.7023362558E+006 0029
  0.7110320355E+006 0029
  0.7154886226E+006 0028
  0.7247388262E+006 0028
  0.7344573214E+006 0028
  0.7446678153E+006 0027
  0.7553952156E+006 0027
  0.7666656904E+006 0027
  0.7785067331E+006 0026
  0.7909472285E+006 0026
  0.8040175240E+006 0026
  0.8144457756E+006 0025
  0.8256758618E+006 0025
  0.8377694365E+006 0025
  0.8463441167E+006 0025
  0.8553528900E+006 0025
  0.8648177326E+006 0024
  0.8747617327E+006 0024
  0.9239081317E+006 0023
  0.9764346680E+006 0022
  0.1030014284E+007 0020
  0.1083496268E+007 0019
  0.1139792476E+007 0017
  0.1192156260E+007 0015
  0.1245924806E+007 0014
  0.1304855453E+007 0012
  0.1357355627E+007 0010
  0.1407455824E+007 0009
  0.1464139598E+007 0007
  0.1514804460E+007 0005
  0.1570728987E+007 0003
  0.1616450426E+007 0001
  0.1657693158E+007 0001
  0.1714131024E+007 0001
  0.1767988905E+007 0001
  0.1883389052E+007 0001
  0.1992658809E+007 0001
  0.2092853007E+007 0001
  0.2204650037E+007 0001
  0.2316243351E+007 0001
  0.2433708711E+007 0001
  0.2551883484E+007 0001
  0.2664656049E+007 0001
  0.2765453967E+007 0001
  0.2862288965E+007 0001
  0.2956749026E+007 0001
  0.3066293738E+007 0001
  0.3170830754E+007 0001
  0.3289104793E+007 0001
  0.3394820015E+007 0001
  0.3498621396E+007 0001
  0.3602704903E+007 0001
  0.3702030368E+007 0001
  0.3814408014E+007 0001
  0.3914852947E+007 0001
  0.4025725359E+007 0001
  0.4116369776E+007 0001
  0.4213983900E+007 0001
  0.4319103635E+007 0001
  0.4432306091E+007 0001
  0.4554212756E+007 0001
  0.4640647965E+007 0001
  0.4731458957E+007 0001
  0.4826867256E+007 0001
  0.4927105599E+007 0001
  0.5000000000E+007 0001
  0.5000000000E+007 0001
