# SN 2020oi Si 1.046 um velocity proxy (Rho+2021 Fig. 6 caption)
# time_days  velocity_km_s  sigma_total_km_s  sigma_stat_km_s  sigma_sys_km_s
     3.000        12700.0            1000.0           500.0          866.0
    14.000         7300.0            1000.0           500.0          866.0
    29.000         7300.0            1000.0           500.0          866.0
    63.000         5000.0            1000.0           500.0          866.0
